"Jaartal","Provincies","Woningvoorraad_1_januari","Nieuwbouw"
2015,"Noord-Holland (PV)",1287671,10168
2016,"Noord-Holland (PV)",1300094,10822
2017,"Noord-Holland (PV)",1307353,10944
2018,"Noord-Holland (PV)",1318336,13968
2019,"Noord-Holland (PV)",1334098,13876
2020,"Noord-Holland (PV)",1348750,10649
2021,"Noord-Holland (PV)",1359800,14608
2022,"Noord-Holland (PV)",1376949,14113
2023,"Noord-Holland (PV)",1392041,11003
2024,"Noord-Holland (PV)",1405035,14929
2025,"Noord-Holland (PV)",1420068,NA
2005,"Zuid-Holland (PV)",1508403,15749
2006,"Zuid-Holland (PV)",1519931,15670
2007,"Zuid-Holland (PV)",1530254,16090
2008,"Zuid-Holland (PV)",1540715,17038
2009,"Zuid-Holland (PV)",1552666,19582
2010,"Zuid-Holland (PV)",1567536,13161
2011,"Zuid-Holland (PV)",1578881,12067
2012,"Zuid-Holland (PV)",1605453,10070
2013,"Zuid-Holland (PV)",1618648,10911
2014,"Zuid-Holland (PV)",1636097,8434
2015,"Zuid-Holland (PV)",1647422,9968
2016,"Zuid-Holland (PV)",1657234,11090
2017,"Zuid-Holland (PV)",1666690,13216
2018,"Zuid-Holland (PV)",1677634,11336
2019,"Zuid-Holland (PV)",1675517,13565
2020,"Zuid-Holland (PV)",1692888,15326
2021,"Zuid-Holland (PV)",1709692,13562
2022,"Zuid-Holland (PV)",1724095,14547
2023,"Zuid-Holland (PV)",1739228,17284
2024,"Zuid-Holland (PV)",1757694,14780
2025,"Zuid-Holland (PV)",1773459,NA
2005,"Zeeland (PV)",168002,1676
2006,"Zeeland (PV)",169631,1686
2007,"Zeeland (PV)",170863,1489
2008,"Zeeland (PV)",173073,1570
2009,"Zeeland (PV)",174495,1488
2010,"Zeeland (PV)",175849,954
2011,"Zeeland (PV)",176488,1251
2012,"Zeeland (PV)",181244,1145
2013,"Zeeland (PV)",180369,866
2014,"Zeeland (PV)",182368,857
2015,"Zeeland (PV)",182668,989
2016,"Zeeland (PV)",183611,1073
2017,"Zeeland (PV)",184354,1163
2018,"Zeeland (PV)",185264,1251
2019,"Zeeland (PV)",186528,1369
2020,"Zeeland (PV)",187611,1542
2021,"Zeeland (PV)",188560,1281
2022,"Zeeland (PV)",189397,1565
2023,"Zeeland (PV)",190578,1924
2024,"Zeeland (PV)",192356,1545
2025,"Zeeland (PV)",193454,NA
2005,"Noord-Brabant (PV)",977896,8133
2006,"Noord-Brabant (PV)",984757,10925
2007,"Noord-Brabant (PV)",993954,11307
2008,"Noord-Brabant (PV)",1006145,11157
2009,"Noord-Brabant (PV)",1014451,12855
2010,"Noord-Brabant (PV)",1026222,8513
2011,"Noord-Brabant (PV)",1033423,9867
2012,"Noord-Brabant (PV)",1050426,8142
2013,"Noord-Brabant (PV)",1062387,9782
2014,"Noord-Brabant (PV)",1078783,7751
2015,"Noord-Brabant (PV)",1087416,6924
2016,"Noord-Brabant (PV)",1096399,7468
2017,"Noord-Brabant (PV)",1104296,10450
2018,"Noord-Brabant (PV)",1116102,11078
2019,"Noord-Brabant (PV)",1128847,11989
2020,"Noord-Brabant (PV)",1140611,10561
2021,"Noord-Brabant (PV)",1151426,11930
2022,"Noord-Brabant (PV)",1164414,12347
2023,"Noord-Brabant (PV)",1178285,12092
2024,"Noord-Brabant (PV)",1190844,10632
2025,"Noord-Brabant (PV)",1201668,NA
2005,"Limburg (PV)",486205,3450
2006,"Limburg (PV)",489230,3665
2007,"Limburg (PV)",492910,4607
2008,"Limburg (PV)",497586,3426
2009,"Limburg (PV)",499764,3831
2010,"Limburg (PV)",502728,3318
2011,"Limburg (PV)",505479,2662
2012,"Limburg (PV)",510026,2078
2013,"Limburg (PV)",514029,2008
2014,"Limburg (PV)",520664,2164
2015,"Limburg (PV)",523368,1331
2016,"Limburg (PV)",524634,1838
2017,"Limburg (PV)",527097,2231
2018,"Limburg (PV)",529301,2230
2019,"Limburg (PV)",531082,2367
2020,"Limburg (PV)",533231,2764
2021,"Limburg (PV)",536617,3556
2022,"Limburg (PV)",540435,3385
2023,"Limburg (PV)",544758,3397
2024,"Limburg (PV)",548613,2578
2025,"Limburg (PV)",551489,NA
