"KenmerkenVanPersonen","Geslacht","Perioden","Personen_1","GemiddeldGestandaardiseerdInkomen_2","PersonenMetInkomen_3","GemiddeldPersoonlijkInkomen_4","MedianeKoopkrachtontwikkeling_5","PersonenEconomischZelfstandig_6","PersonenArm_7"
"2017554","T001038","2014JJ00",3084.7,26.7,3084.7,23.4,0.8,11,NA
"2017554","T001038","2015JJ00",3121.9,26.2,3121.9,23.4,0.1,13.1,NA
"2017554","T001038","2016JJ00",3152,26.9,3152,24.1,0.8,14.9,NA
"2017554","T001038","2017JJ00",3194.8,28.4,3194.8,26.4,-0.2,19,NA
"2017554","T001038","2018JJ00",3190.3,27.6,3190.3,24.8,-0.4,15.5,3.1
"2017554","T001038","2019JJ00",3201.1,29.5,3201.1,25.6,0.7,15.8,2.7
"2017554","T001038","2020JJ00",3253.7,29.6,3253.7,26.2,1.2,16.1,2
"2017554","T001038","2021JJ00",3306.6,30.8,3306.6,27,-0.3,17.8,2.1
"2017554","T001038","2022JJ00",3300.2,32.1,3300.2,27.8,-3,14.6,1.4
"2017554","T001038","2023JJ00",3315.6,36.5,3315.6,30,-0.4,14.6,1.1
"2017554","T001038","2024JJ00",3343,38.3,3343,31.8,1.8,15.8,1.4
"2017554","3000   ","2011JJ00",1330,25.7,1330,28.9,NA,12.1,NA
"2017554","3000   ","2012JJ00",1360.9,26.3,1360.9,29,-1.2,11.7,NA
"2017554","3000   ","2013JJ00",1384.2,26.3,1384.2,29.3,-3.1,12.6,NA
"2017554","3000   ","2014JJ00",1400.1,27.8,1400.1,30.4,0.7,15.1,NA
"2017554","3000   ","2015JJ00",1414.2,27.2,1414.2,30.1,0,18,NA
"2017554","3000   ","2016JJ00",1428.9,27.9,1428.9,30.9,0.8,21.3,NA
"2017554","3000   ","2017JJ00",1455.5,30.1,1455.5,35,-0.3,28.2,NA
"2017554","3000   ","2018JJ00",1450.5,28.6,1450.5,31.6,-0.4,21.8,2.9
"2017554","3000   ","2019JJ00",1457.7,30.6,1457.7,32.3,0.7,22.4,2.5
"2017554","3000   ","2020JJ00",1487.4,30.7,1487.4,32.9,1.1,23.3,1.8
"2017554","3000   ","2021JJ00",1514.5,32,1514.5,33.9,-0.3,26.1,2
"2017554","3000   ","2022JJ00",1511.6,33.2,1511.6,34.5,-3.1,21,1.3
"2017554","3000   ","2023JJ00",1522.2,37.8,1522.2,37,-0.4,20.5,1
"2017554","3000   ","2024JJ00",1537.9,39.7,1537.9,39.1,1.9,22.1,1.3
"2017554","4000   ","2011JJ00",1629.7,24,1629.7,16.7,NA,5.8,NA
"2017554","4000   ","2012JJ00",1664.3,24.6,1664.3,16.8,-1.2,5.8,NA
"2017554","4000   ","2013JJ00",1679.6,24.6,1679.6,17,-2.7,6.4,NA
"2017554","4000   ","2014JJ00",1684.6,25.8,1684.6,17.6,0.9,7.8,NA
"2017554","4000   ","2015JJ00",1707.7,25.4,1707.7,17.8,0.2,9.5,NA
"2017554","4000   ","2016JJ00",1723.1,26,1723.1,18.4,0.9,10.4,NA
"2017554","4000   ","2017JJ00",1739.3,27,1739.3,19.2,-0.1,12.1,NA
"2017554","4000   ","2018JJ00",1739.8,26.7,1739.8,19.2,-0.3,11.2,3.3
"2017554","4000   ","2019JJ00",1743.4,28.6,1743.4,19.9,0.7,11.3,2.9
"2017554","4000   ","2020JJ00",1766.3,28.7,1766.3,20.6,1.2,11.2,2.1
"2017554","4000   ","2021JJ00",1792.1,29.8,1792.1,21.2,-0.3,12,2.2
"2017554","4000   ","2022JJ00",1788.6,31.3,1788.6,22.1,-2.9,10.4,1.4
"2017554","4000   ","2023JJ00",1793.4,35.5,1793.4,24,-0.4,10.5,1.1
"2017554","4000   ","2024JJ00",1805.1,37.1,1805.1,25.6,1.8,11.2,1.4
"2017570","T001038","2011JJ00",4222.4,24.8,1298.9,4.3,NA,NA,NA
"2017570","T001038","2012JJ00",4233,24.9,1306.3,4.4,-0.9,NA,NA
"2017570","T001038","2013JJ00",4236,25.2,1316.1,4.4,0,NA,NA
"2017570","T001038","2014JJ00",4235.2,26.7,1336.7,4.5,2.7,NA,NA
"2017570","T001038","2015JJ00",4220.2,26.5,1350.8,4.6,2.7,NA,NA
"2017570","T001038","2016JJ00",4195,27.9,1350.6,4.5,4.9,NA,NA
"2017570","T001038","2017JJ00",4177.9,29.1,1365.5,4.5,1.9,NA,NA
"2017570","T001038","2018JJ00",4154.1,29.8,1375.5,4.5,2.1,NA,8.3
"2017570","T001038","2019JJ00",4129.9,32.3,1381.9,4.6,2.8,NA,7.3
"2017570","T001038","2020JJ00",4106.7,32.8,1332.5,4.8,4.4,NA,6.1
"2017570","T001038","2021JJ00",4075.5,34.4,1361.1,4.9,2.9,NA,5.5
"2017570","T001038","2022JJ00",4054.6,36.5,1414.8,5.2,0.4,NA,4.1
"2017570","T001038","2023JJ00",4039.9,41.3,1419.2,5.8,2,NA,2.9
"2017570","T001038","2024JJ00",3993.8,43,1384,6.7,5.6,NA,3
"2017570","3000   ","2011JJ00",2131.9,25,632.1,4.2,NA,NA,NA
"2017570","3000   ","2012JJ00",2139.2,25.1,636.4,4.3,-0.9,NA,NA
"2017570","3000   ","2013JJ00",2143.4,25.3,643.2,4.3,0,NA,NA
"2017570","3000   ","2014JJ00",2145.4,26.8,655.6,4.3,2.7,NA,NA
"2017570","3000   ","2015JJ00",2137.4,26.7,662.9,4.4,2.7,NA,NA
"2017570","3000   ","2016JJ00",2125.3,28.1,663,4.4,4.9,NA,NA
"2017570","3000   ","2017JJ00",2116,29.3,669.9,4.4,1.9,NA,NA
"2017570","3000   ","2018JJ00",2102.4,29.9,674.4,4.4,2.1,NA,8.3
"2017570","3000   ","2019JJ00",2087.4,32.4,674.7,4.5,2.8,NA,7.2
"2017570","3000   ","2020JJ00",2074.4,33,645.8,4.7,4.4,NA,6.1
"2017570","3000   ","2021JJ00",2056.6,34.6,656.3,4.8,2.9,NA,5.5
"2017570","3000   ","2022JJ00",2040.4,36.8,682.4,5.1,0.4,NA,4.1
"2017570","3000   ","2023JJ00",2029.9,41.6,684.4,5.6,2,NA,2.9
"2017570","3000   ","2024JJ00",2005.7,43.3,667.5,6.4,5.6,NA,2.9
"2017570","4000   ","2011JJ00",2090.5,24.7,666.8,4.5,NA,NA,NA
"2017570","4000   ","2012JJ00",2093.8,24.7,669.9,4.6,-0.8,NA,NA
"2017570","4000   ","2013JJ00",2092.7,25,672.9,4.6,0,NA,NA
"2017570","4000   ","2014JJ00",2089.8,26.5,681.1,4.7,2.7,NA,NA
"2017570","4000   ","2015JJ00",2082.8,26.3,687.8,4.7,2.7,NA,NA
"2017570","4000   ","2016JJ00",2069.7,27.8,687.6,4.6,4.9,NA,NA
"2017570","4000   ","2017JJ00",2061.9,28.9,695.6,4.6,2,NA,NA
"2017570","4000   ","2018JJ00",2051.7,29.6,701.1,4.6,2.1,NA,8.4
"2017570","4000   ","2019JJ00",2042.4,32.1,707.1,4.7,2.9,NA,7.3
"2017570","4000   ","2020JJ00",2032.3,32.7,686.7,4.9,4.4,NA,6.1
"2017570","4000   ","2021JJ00",2018.9,34.2,704.8,5,3,NA,5.5
"2017570","4000   ","2022JJ00",2014.2,36.3,732.4,5.4,0.4,NA,4.1
"2017570","4000   ","2023JJ00",2010.1,41,734.8,6,2,NA,2.9
"2017570","4000   ","2024JJ00",1988.1,42.7,716.5,6.9,5.6,NA,3
"2017550","T001038","2011JJ00",578.9,25.2,NA,NA,NA,0,NA
"2017550","T001038","2012JJ00",559.6,25,NA,NA,-1.8,0,NA
"2017550","T001038","2013JJ00",558.1,24.9,NA,NA,-1.4,0,NA
"2017550","T001038","2014JJ00",550.2,27,NA,NA,1.4,0,NA
"2017550","T001038","2015JJ00",543.2,25.9,NA,NA,1,0,NA
"2017550","T001038","2016JJ00",525.4,27.1,NA,NA,2.4,0,NA
"2017550","T001038","2017JJ00",498.1,28.3,NA,NA,0.2,0,NA
"2017550","T001038","2018JJ00",475.9,28.3,NA,NA,0.2,0,13.5
"2017550","T001038","2019JJ00",459.6,31.9,NA,NA,1.6,0,12.7
"2017550","T001038","2020JJ00",438.6,31,NA,NA,2.5,0,10.9
"2017550","T001038","2021JJ00",423.7,32.2,NA,NA,1,0,11
"2017550","T001038","2022JJ00",384.7,34.4,NA,NA,-1.6,0,9.5
"2017550","T001038","2023JJ00",406.6,42,NA,NA,-0.1,0,10.8
"2017550","T001038","2024JJ00",416.9,41.4,NA,NA,2.6,0,12.5
"2017550","3000   ","2011JJ00",66.7,18.7,NA,NA,NA,0,NA
"2017550","3000   ","2012JJ00",70.2,18.5,NA,NA,-1.6,0,NA
"2017550","3000   ","2013JJ00",76,18.8,NA,NA,-1.3,0,NA
"2017550","3000   ","2014JJ00",77.6,20.3,NA,NA,1.7,0,NA
"2017550","3000   ","2015JJ00",79.6,19.6,NA,NA,0.8,0,NA
"2017550","3000   ","2016JJ00",79.3,21,NA,NA,2.2,0,NA
"2017550","3000   ","2017JJ00",76.4,21.5,NA,NA,0.1,0,NA
"2017550","3000   ","2018JJ00",77.7,22.1,NA,NA,0.2,0,28
"2017550","3000   ","2019JJ00",79.7,24.9,NA,NA,1.3,0,26.6
"2017550","3000   ","2020JJ00",79.8,23.9,NA,NA,2.4,0,23.6
"2017550","3000   ","2021JJ00",83.7,25.2,NA,NA,0.8,0,23.3
"2017550","3000   ","2022JJ00",72.2,27.7,NA,NA,-0.5,0,20.7
"2017550","3000   ","2023JJ00",89.9,32.4,NA,NA,0.4,0,22.2
"2017550","3000   ","2024JJ00",101.6,32.3,NA,NA,1.9,0,23.4
"2017550","4000   ","2011JJ00",512.2,26,NA,NA,NA,0,NA
"2017550","4000   ","2012JJ00",489.4,25.9,NA,NA,-1.8,0,NA
"2017550","4000   ","2013JJ00",482.1,25.9,NA,NA,-1.4,0,NA
"2017550","4000   ","2014JJ00",472.6,28.1,NA,NA,1.3,0,NA
"2017550","4000   ","2015JJ00",463.6,26.9,NA,NA,1,0,NA
"2017550","4000   ","2016JJ00",446,28.2,NA,NA,2.4,0,NA
"2017550","4000   ","2017JJ00",421.7,29.6,NA,NA,0.2,0,NA
"2017550","4000   ","2018JJ00",398.2,29.5,NA,NA,0.2,0,10.7
"2017550","4000   ","2019JJ00",379.9,33.3,NA,NA,1.7,0,9.7
"2017550","4000   ","2020JJ00",358.7,32.5,NA,NA,2.5,0,8
"2017550","4000   ","2021JJ00",339.9,33.9,NA,NA,1,0,8
"2017550","4000   ","2022JJ00",312.5,36,NA,NA,-1.8,0,6.9
"2017550","4000   ","2023JJ00",316.7,44.8,NA,NA,-0.2,0,7.6
"2017550","4000   ","2024JJ00",315.3,44.4,NA,NA,2.7,0,9
