"Perioden","Regio.s","Bouwen.en.wonen.Woningvoorraad.Voorraad.op.1.januari..aantal.","Bouwen.en.wonen.Woningvoorraad.Nieuwbouw..aantal.","Bouwen.en.wonen.Woningvoorraad.Saldo.voorraad..relatief..per.1.000.woningen.","Bouwen.en.wonen.Woningvoorraad.Woningdichtheid..aantal.woningen.per.km..","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Koopwoningen....","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Huurwoningen.van.woningcorporatie....","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Huurwoningen.van.overige.verhuurders....","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Eigendom.onbekend....","Bouwen.en.wonen.Gemiddelde.WOZ.waarde.van.woningen..1.000.euro."
2007,"Overijssel (PV)",450035,6867,"11,6",135,"58,2","","","3,5",201
2008,"Overijssel (PV)",456193,5933,"9",137,"58,6","","","3,5",214
2009,"Overijssel (PV)",460285,4819,"7,6",138,"59,1","29,9","10,2","0,8",220
2010,"Overijssel (PV)",463780,3469,"4,6",139,"58,6","30,2","10,5","0,7",222
2011,"Overijssel (PV)",465936,4529,"7,5",140,"58,4","29,3","11,5","0,8",218
2012,"Overijssel (PV)",482575,2537,"5,8",145,"60","29","10","1",213
2013,"Overijssel (PV)",485392,2786,"4,5",146,"60","28,8","10,4","0,8",207
2014,"Overijssel (PV)",487577,3367,"5,4",147,"59,9","28,4","10,7","1",195
2015,"Overijssel (PV)",490227,3662,"7,2",148,"59,9","28,9","10,2","1",191
2016,"Overijssel (PV)",493757,3652,"7,3",149,"59,8","28,2","10,9","1,1",192
2017,"Overijssel (PV)",497361,3817,"5,2",150,"59,5","28,2","11,2","1",196
2018,"Overijssel (PV)",499951,4169,"10,8",151,"60,5","27,9","10,7","0,9",204
2019,"Overijssel (PV)",505343,4611,"9,8",152,"61","27,8","10,9","0,3",221
2020,"Overijssel (PV)",510296,4045,"9,2",154,"60,9","27,6","11,4","0,1",235
2021,"Overijssel (PV)",514993,3553,"6,9",155,"60,8","27,4","11,7","0,1",251
2022,"Overijssel (PV)",518558,3885,"8,4",156,"61","27,2","11,8","0,1",280
2023,"Overijssel (PV)",522922,4465,"8",158,"61","26,9","12","0,1",325
2024,"Overijssel (PV)",527085,4532,"9",159,"61,2","26,8","12","0,1",343
2025,"Overijssel (PV)",531840,NA,"",160,"","","","",356
